City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kailua-kona,19.6406,-155.9956,31.39,77,40,5.66,US,1690412925
83,ciudad lazaro cardenas,17.9583,-102.2,31.02,59,38,4.6,MX,1690413075
84,fort bragg,35.139,-79.006,34.39,62,100,6.69,US,1690413075
85,sereflikochisar,38.9393,33.5386,25.0,31,0,2.12,TR,1690412958
86,papatowai,-46.5619,169.4708,5.69,85,100,11.86,NZ,1690413075
87,kerikeri,-35.2268,173.9474,13.84,86,95,0.89,NZ,1690413075
88,chonchi,-42.6128,-73.8092,8.4,97,100,0.58,CL,1690413075
89,thompson,55.7435,-97.8558,16.99,59,100,1.41,CA,1690412807
90,iqaluit,63.7506,-68.5145,4.34,79,98,2.22,CA,1690413075
91,alur,12.9833,75.9833,18.8,94,100,6.97,IN,1690413075
92,carnarvon,-24.8667,113.6333,15.83,57,31,6.04,AU,1690413075
93,lebu,-37.6167,-73.65,8.89,84,100,1.29,CL,1690413075
94,puerto el triunfo,13.2833,-88.55,29.73,68,81,2.63,SV,1690413075
95,tralee,52.2704,-9.7026,16.16,98,100,3.81,IE,1690413076
96,praia da vitoria,38.7333,-27.0667,21.53,87,9,2.37,PT,1690412899
97,luderitz,-26.6481,15.1594,12.8,71,0,4.01,NA,1690412801
98,isangel,-19.55,169.2667,21.64,60,90,7.75,VU,1690413076
99,strelka,58.0728,93.0344,15.51,97,97,1.6,RU,1690413076
100,udachny,66.4167,112.4,18.03,67,100,1.13,RU,1690413076
101,selfoss,63.9331,-20.9971,11.14,78,100,1.49,IS,1690413076
102,vorgashor,67.5833,63.95,13.8,94,100,2.88,RU,1690412989
103,san rafael,-34.6177,-68.3301,11.62,45,95,2.71,AR,1690412990
104,labrador city,52.9463,-66.9114,16.99,69,75,4.91,CA,1690413009
105,tadine,-21.55,167.8833,20.91,56,96,8.46,NC,1690413076
106,kurumkan,54.3,110.3,17.15,89,100,0.3,RU,1690413000
107,utrik,11.2278,169.8474,28.18,81,100,8.57,MH,1690413076
108,cole harbour,44.6724,-63.4751,23.43,83,30,0.45,CA,1690413077
109,geraldton,-28.7667,114.6,9.23,93,75,2.57,AU,1690412991
110,mount isa,-20.7333,139.5,19.87,73,75,5.14,AU,1690412951
111,makhambet,47.6667,51.5833,26.77,43,36,2.97,KZ,1690413078
112,colonia,50.9333,6.95,17.81,71,0,3.6,DE,1690412990
113,floro,61.5996,5.0328,15.04,88,97,2.57,NO,1690413080
114,kudahuvadhoo,2.6708,72.8944,28.21,77,50,4.53,MV,1690413080
115,cidreira,-30.1811,-50.2056,17.33,89,100,6.19,BR,1690412914
116,karratha,-20.7377,116.8463,19.02,69,42,3.61,AU,1690413080
117,charters towers,-20.1,146.2667,17.2,69,33,5.87,AU,1690413080
118,rancho palos verdes,33.7445,-118.387,37.82,62,20,7.2,US,1690412920
119,rikaze,29.25,88.8833,11.37,80,100,2.46,CN,1690413080
120,guarapari,-20.6667,-40.4975,21.61,86,8,4.29,BR,1690412898
121,port elizabeth,-33.918,25.5701,14.16,67,20,2.57,ZA,1690413081
122,igarka,67.4667,86.5833,18.52,86,1,2.76,RU,1690413081
123,trincomalee,8.5711,81.2335,27.16,75,100,9.03,LK,1690413081
124,east london,-33.0153,27.9116,17.38,73,83,6.84,ZA,1690413081
125,kamina,-8.7386,24.9906,17.16,35,2,2.31,CD,1690413081
126,brisas de zicatela,15.8369,-97.0419,31.29,55,75,3.09,MX,1690413082
127,rio grande,-32.035,-52.0986,15.06,85,64,7.07,BR,1690412983
128,ares,-6.1944,-35.1603,23.42,88,6,5.09,BR,1690413082
129,ribeira grande,38.5167,-28.7,23.21,94,13,4.02,PT,1690412931
130,quang ngai,15.1167,108.8,24.92,88,76,2.11,VN,1690413082
131,auki,-8.7676,160.7034,26.31,88,100,2.83,SB,1690413082
132,keflavik,64.0049,-22.5624,11.95,87,75,3.6,IS,1690413082
133,vrangel',42.7297,133.0839,21.87,90,100,1.72,RU,1690413082
134,xining,36.6167,101.7667,13.47,94,100,1.09,CN,1690412827
135,puerto san jose,13.9256,-90.8244,31.22,60,29,4.22,GT,1690413082
136,kismayo,-0.3582,42.5454,24.42,80,72,6.73,SO,1690412927
137,tiksi,71.6872,128.8694,8.2,67,41,1.53,RU,1690413083
138,yaren,-0.5472,166.916,28.29,77,98,4.38,NR,1690413083
139,la grande,45.3246,-118.0877,30.0,24,0,4.86,US,1690412970
140,liuboml,51.226,24.0373,12.62,97,100,6.7,UA,1690413083
141,olonkinbyen,70.9221,-8.7187,4.68,89,100,5.55,SJ,1690412887
142,mar del plata,-38.0023,-57.5575,10.05,82,100,8.05,AR,1690412814
143,santiago de cao,-7.9589,-79.2392,22.07,83,50,4.63,PE,1690413083
144,puerto ayora,-0.7393,-90.3518,25.31,91,91,3.13,EC,1690413083
145,harduaganj,27.95,78.1667,25.68,90,100,2.48,IN,1690413083
146,askino,56.0901,56.5783,16.6,84,66,1.34,RU,1690413083
147,hithadhoo,-0.6,73.0833,28.21,79,45,6.82,MV,1690413083
148,saint-joseph,-21.3667,55.6167,19.21,84,47,4.42,RE,1690413084
149,usinsk,65.9939,57.5281,13.47,93,72,2.49,RU,1690413084
150,saladan,7.6134,99.0365,27.3,83,85,6.27,TH,1690413084
151,margate,51.3813,1.3862,16.28,94,100,4.47,GB,1690412970
152,ebon,4.582,168.6964,27.27,78,88,1.92,MH,1690413084
153,vung tau,10.346,107.0843,26.66,88,100,6.94,VN,1690413084
154,malango,-2.9627,119.9001,18.34,95,48,0.91,ID,1690413084
155,kiuruvesi,63.65,26.6167,11.68,95,9,1.07,FI,1690413084
156,khandyga,62.6667,135.6,19.15,41,0,5.2,RU,1690413084
157,polyarnyy,69.1989,33.4478,10.24,97,100,1.29,RU,1690413001
158,klyuchi,52.2667,79.1667,22.0,37,100,2.77,RU,1690412911
159,ocean acres,39.7435,-74.281,29.01,74,1,1.34,US,1690413084
160,minas de barroteran,27.6333,-101.2833,37.89,16,0,7.95,MX,1690413084
161,campoverde,-8.4753,-74.8058,29.83,48,67,1.64,PE,1690413085
162,christchurch,-43.5333,172.6333,10.26,78,24,3.6,NZ,1690413031
163,baxter,46.3433,-94.2867,34.18,43,0,0.0,US,1690413085
164,san luis de la loma,17.2706,-100.8939,31.48,63,62,4.37,MX,1690413085
165,am timan,11.0297,20.2827,23.15,91,99,3.01,TD,1690413085
166,vila velha,-20.3297,-40.2925,21.64,87,0,2.06,BR,1690412987
167,weno,7.4515,151.8468,27.84,77,69,3.72,FM,1690413085
168,victoriaville,46.0501,-71.9658,24.71,83,85,3.14,CA,1690413085
169,juneau,58.3019,-134.4197,17.0,100,100,4.12,US,1690413085
170,laguna,38.421,-121.4238,37.88,31,0,4.63,US,1690412558
171,la'ie,21.6477,-157.9253,30.98,69,40,6.51,US,1690413085
172,constantia,44.1833,28.65,23.38,79,34,6.82,RO,1690413027
173,ixtapa,20.7,-105.2,30.57,70,100,2.06,MX,1690413085
174,klaksvik,62.2266,-6.589,9.51,77,44,2.25,FO,1690413086
175,portland,45.5234,-122.6762,30.34,35,40,4.12,US,1690413004
176,anadyr,64.75,177.4833,11.67,81,75,4.0,RU,1690413086
177,znamensk,48.5842,45.7338,24.97,38,15,1.45,RU,1690413086
178,nsanje,-16.92,35.262,16.45,93,42,0.84,MW,1690412894
179,concordia,-31.393,-58.0209,9.88,84,1,3.13,AR,1690412868
180,codrington,-38.2667,141.9667,8.81,76,5,6.17,AU,1690413086
181,hermanus,-34.4187,19.2345,12.28,83,9,3.03,ZA,1690413086
182,vielha,42.6846,0.7726,12.26,77,2,2.23,ES,1690413086
183,mountain home,43.133,-115.6912,34.71,17,0,3.6,US,1690412792
184,santa terezinha,-29.9002,-50.0904,17.74,90,100,5.64,BR,1690413086
185,manakara,-22.1333,48.0167,17.42,72,62,2.1,MG,1690413086
186,lihue,21.9789,-159.3672,30.77,65,20,6.17,US,1690413086
187,nantucket,41.2835,-70.0995,25.64,87,0,8.01,US,1690412979
188,richards bay,-28.783,32.0377,18.46,69,0,8.27,ZA,1690413086
189,mil'kovo,55.6078,37.7956,18.73,91,57,2.55,RU,1690413087
190,stanley,54.868,-1.6985,13.49,94,75,2.06,GB,1690412797
191,choibalsan,48.0667,114.5,17.87,73,2,3.21,MN,1690413087
192,sinop,41.7711,34.8709,22.97,43,0,4.82,TR,1690413087
193,ma'rib,15.4591,45.3253,29.58,25,70,2.04,YE,1690413087
194,urangan,-25.3,152.9,19.67,60,47,6.4,AU,1690413087
195,kertih,4.5141,103.4483,24.15,89,100,1.69,MY,1690412932
196,vila franca do campo,37.7167,-25.4333,21.23,82,22,2.01,PT,1690413087
197,st. john's,47.5649,-52.7093,21.98,70,96,5.29,CA,1690413033
198,touros,-5.1989,-35.4608,24.78,84,8,6.61,BR,1690412905
199,kamloops,50.6665,-120.3192,26.43,30,40,1.54,CA,1690413087
200,vilyuchinsk,52.9306,158.4028,22.15,73,100,1.46,RU,1690413087
201,yanam,16.7333,82.2167,24.48,92,100,4.66,IN,1690413087
202,papao,-17.75,-149.55,25.82,88,51,4.48,PF,1690413087
203,broken hill,-31.95,141.4333,13.42,48,0,7.16,AU,1690413087
204,vanimo,-2.6741,141.3028,26.29,88,100,1.63,PG,1690413010
205,port shepstone,-30.7414,30.455,17.85,59,0,2.81,ZA,1690413088
206,farasan,16.7022,42.1183,31.62,74,63,5.73,SA,1690413088
207,atafu village,-8.5421,-172.5159,28.42,74,30,8.55,TK,1690413088
208,ust-tsilma,65.441,52.1498,12.78,90,15,1.19,RU,1690413088
209,oranjemund,-28.55,16.4333,12.13,74,0,2.52,NA,1690413088
210,aasiaat,68.7098,-52.8699,3.62,91,37,4.03,GL,1690413056
211,port lincoln,-34.7333,135.8667,14.22,56,51,8.23,AU,1690413088
212,chake chake,-5.2459,39.7666,23.89,78,45,5.64,TZ,1690413088
213,ivdel',60.6911,60.4206,12.76,92,1,1.91,RU,1690413088
214,gadzhiyevo,69.2551,33.3362,10.07,96,100,1.19,RU,1690413088
215,ola,59.5833,151.2833,16.19,97,100,3.21,RU,1690413088
216,saipan,15.1355,145.701,27.39,100,100,7.2,MP,1690413088
217,plastun,44.7561,136.2939,26.19,62,73,1.35,RU,1690413088
218,hamilton,39.1834,-84.5333,31.34,69,0,8.75,US,1690413089
219,avarua,-21.2078,-159.775,24.03,69,40,3.09,CK,1690413089
220,kirensk,57.7853,108.1119,19.02,86,90,0.68,RU,1690413089
221,alofi,-19.0595,-169.9187,24.94,57,75,1.03,NU,1690412903
222,rumonge,-3.9736,29.4386,21.86,45,22,1.43,BI,1690413089
223,east ballina,-28.8667,153.5833,14.33,60,62,1.39,AU,1690412798
224,san patricio,28.017,-97.5169,36.4,48,0,7.87,US,1690412945
225,yuza,39.0,139.9167,27.48,76,43,2.39,JP,1690413089
226,peterhead,57.5058,-1.7981,13.22,81,17,5.65,GB,1690413021
227,ta`u,-14.2336,-169.5144,25.55,73,97,5.15,AS,1690412558
228,borzya,50.3833,116.5167,16.85,86,52,2.93,RU,1690413089
229,ghadamis,30.1337,9.5007,36.13,9,0,3.5,LY,1690412981
